Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
IB4f_3,14,14,1,1,256,1024,1,Conv,0,0,312320,
CB5a_1,14,14,1,1,1024,512,2,Conv,312320,312320,513024,
CB5a_2,7,7,3,3,512,512,1,Conv,513024,513024,836608,
CB5a_3,7,7,1,1,512,2048,1,Conv,836608,836608,2872320,
CB5s,14,14,1,1,1024,2048,2,Conv,3473810666579780978,3473810666579780978,2972672,
IB5b_1,7,7,1,1,2048,512,1,Conv,2972672,2972672,3473810666581878130,
IB5b_2,7,7,3,3,512,512,1,Conv,3473810666581878130,3473810666581878130,3473810666581903360,
IB5b_3,7,7,1,1,512,2048,1,Conv,3473810666581903360,3473810666581903360,3473810666584237426,
IB5c_1,7,7,1,1,2048,512,1,Conv,3473810666584237426,3473810666584237426,3473810666584337920,
IB5c_2,7,7,3,3,512,512,1,Conv,3473810666584337920,3473810666584337920,3473810666585286002,
IB5c_3,7,7,1,1,512,2048,1,Conv,3473810666585286002,3473810666585286002,3473810666586697216,
FC6,1,1,1,1,2048,1000,1,Conv,3473810666586697216,3473810666586697216,3473810666586797568,

