Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Conv2d_1,224,224,3,3,0,4,1,1,
Conv2d_2,112,112,3,3,4,8,1,1,
Conv2d_3,56,56,3,3,8,16,1,1,
Conv2d_4,56,56,3,3,16,16,1,1,
Conv2d_5,28,28,3,3,16,32,1,1,
Conv2d_6,28,28,3,3,32,32,1,1,
Conv2d_7,14,14,3,3,32,32,1,1,
Conv2d_8,14,14,3,3,32,1568,1,1,
Linear_9,1,1,1,1,1568,256,1,1,
Linear_10,1,1,1,1,256,256,1,1,
Linear_11,1,1,1,1,256,256,1,1,
