Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Conv2d_1,224,224,3,3,1,32,1,1,
Conv2d_2,112,112,3,3,32,64,1,1,
Conv2d_3,56,56,3,3,64,128,1,1,
Conv2d_4,56,56,3,3,128,128,1,1,
Conv2d_5,28,28,3,3,128,256,1,1,
Conv2d_6,28,28,3,3,256,256,1,1,
Conv2d_7,14,14,3,3,256,256,1,1,
Conv2d_8,14,14,3,3,256,12544,1,1,
Linear_9,1,1,1,1,12544,2048,1,1,
Linear_10,1,1,1,1,2048,2048,1,1,
Linear_11,1,1,1,1,2048,2048,1,1,
