Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
IB4e_3,14,14,1,1,256,1024,1,Conv,0,0,312320,
IB4f_1,14,14,1,1,1024,256,1,Conv,312320,312320,513024,
IB4f_2,14,14,3,3,256,256,1,Conv,513024,513024,574464,
IB4f_3,14,14,1,1,256,1024,1,Conv,574464,574464,1102848,
CB5a_1,14,14,1,1,1024,512,2,Conv,1102848,1102848,1303552,
CB5a_2,7,7,3,3,512,512,1,Conv,1303552,1303552,1627136,
CB5a_3,7,7,1,1,512,2048,1,Conv,1627136,1627136,3662848,
CB5s,14,14,1,1,1024,2048,2,Conv,0,0,3763200,
IB5b_1,7,7,1,1,2048,512,1,Conv,3763200,3763200,3894272,
IB5b_2,7,7,3,3,512,512,1,Conv,3894272,3894272,4811776,
IB5b_3,7,7,1,1,512,2048,1,Conv,4811776,4811776,6253568,
IB5c_1,7,7,1,1,2048,512,1,Conv,6253568,6253568,6353920,
IB5c_2,7,7,3,3,512,512,1,Conv,6353920,6353920,7302144,
IB5c_3,7,7,1,1,512,2048,1,Conv,7302144,7302144,8713216,
FC6,1,1,1,1,2048,1000,1,Conv,8713216,8713216,8813568,

