LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 7122.0, 1098075, 1.0, 4047.0, 23232, 511.0, 7389.0, 387200, -18875.0, -1.0, 150528, -6292.0, -1.0, 23232, 7581.0, 9093.0, 387200,
1, 257.0, 8618.0, 846400, 1.0, 8026.0, 307200, 511.0, 9000.0, 710976, -6292.0, -1.0, 46656, -31457.0, -1.0, 307200, 9064.0, 11841.0, 710976,
2, 257.0, 12099.0, 418176, 1.0, 11787.0, 663552, 511.0, 12289.0, 325248, -6292.0, -1.0, 32448, -69206.0, -1.0, 663552, 12417.0, 13687.0, 325248,
3, 257.0, 12035.0, 418176, 1.0, 11787.0, 884736, 511.0, 12417.0, 433664, -12583.0, -1.0, 64896, -94371.0, -1.0, 884736, 12417.0, 14110.0, 433664,
4, 257.0, 127473.0, 4460544, 1.0, 127097.0, 9437184, 511.0, 127727.0, 4460544, -6292.0, -1.0, 43264, -314570.0, 127097.0, 9437184, 30062.0, 128767.0, 4460799,
