LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 50049, 0, 0.2839830491508946, 0.28839111328125, 0.2825378715227736,
1, 12865, 0, 0.4133216333074232, 0.439453125, 0.4052574355994208,
2, 3681, 0, 1.3924969437652812, 1.7578125, 1.3019510414020827,
3, 3681, 0, 2.7849938875305624, 3.515625, 2.6039020828041655,
4, 1441, 0, 3.298490631505899, 7.03125, 2.8008986446670594,
5, 2883, 0, 3.2973465140478666, 7.03125, 2.8008986446670594,
6, 1819, 0, 1.1132490379329303, 7.03125, 0.8690987124463518,
7, 12739, 0, 7.789072925661355, 49.21875, 6.083690987124464,
8, 5368, 0, 0.114102086438152, 87.5, 0.08561643835616438,
9, 766, 0, 0.13054830287206268, 100.0, 0.09784735812133072,
10, 766, 0, 0.13054830287206268, 100.0, 0.09784735812133072,
