LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 138.25884181888847, 0.21710066070734552, 17.87019043917606, 7.974993377483444, 0.44389701207883026, 255.72858731924362,
1, 114.07334963325184, 0.6259168704156479, 12.67481662591687, 7.974570883661793, 0.36617927527018435, 254.95081967213116,
2, 114.07334963325184, 0.6259168704156479, 12.67481662591687, 7.974570883661793, 0.36617927527018435, 254.95081967213116,
3, 114.07334963325184, 0.6259168704156479, 12.67481662591687, 7.974570883661793, 0.36617927527018435, 254.95081967213116,
4, 114.07334963325184, 0.6259168704156479, 12.67481662591687, 7.974570883661793, 0.36617927527018435, 254.95081967213116,
5, 72.88315041962557, 2.974822466107166, 16.196255648805682, 7.974570883661793, 0.7323585505403687, 256.0,
6, 67.52965660770032, 1.5983350676378771, 7.503295178633368, 3.9872854418308963, 0.7323585505403687, 254.49411764705883,
7, 8.378580323785803, 0.31880448318804483, 16.757160647571606, 1.9936427209154481, 0.08137317228226319, 253.88679245283018,
8, 67.52965660770032, 3.1966701352757543, 15.006590357266736, 3.9872854418308963, 1.4647171010807374, 256.0,
9, 67.52965660770032, 3.1966701352757543, 15.006590357266736, 3.9872854418308963, 1.4647171010807374, 256.0,
10, 29.354134165366613, 9.585023400936038, 13.04628185127405, 3.9872854418308963, 2.9294342021614748, 256.0,
11, 30.39355075119091, 6.754122389153536, 5.065591791865152, 1.9936427209154481, 2.9294342021614748, 256.0,
12, 7.2727272727272725, 2.0686868686868687, 14.545454545454545, 0.9968213604577241, 0.32549268912905277, 252.6315789473684,
13, 30.39355075119091, 13.508244778307072, 10.131183583730303, 1.9936427209154481, 5.8588684043229495, 256.0,
14, 30.39355075119091, 13.508244778307072, 10.131183583730303, 1.9936427209154481, 5.8588684043229495, 256.0,
15, 11.548281505728314, 30.16693944353519, 7.698854337152209, 1.9936427209154481, 5.8593340220933, 254.27027027027026,
16, 7.283763277693475, 18.646433990895297, 2.0232675771370765, 0.9968213604577241, 5.8593340220933, 250.0,
17, 4.940892641737032, 9.881785283474064, 9.881785283474064, 0.49841068022886204, 1.301970756516211, 256.0,
18, 7.283763277693475, 37.29286798179059, 4.046535154274153, 0.9968213604577241, 7.812238410596026, 253.96825396825398,
19, 7.283763277693475, 37.29286798179059, 4.046535154274153, 0.9968213604577241, 7.812238410596026, 253.96825396825398,
20, 0.1671018276762402, 21.389033942558747, 0.1671018276762402, 0.020343293070565798, 2.603941513032422, 128.0,
