Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
CB3a_3,28,28,1,1,128,512,1,Conv,0,0,165888,
CB3s,56,56,1,1,256,512,2,Conv,7585785997655828329,7585785997655828329,567296,
IB3b_1,28,28,1,1,512,128,1,Conv,567296,567296,7585785997656631145,
IB3b_2,28,28,3,3,128,128,1,Conv,7585785997656631145,7585785997656631145,7585785997656731648,
IB3b_3,28,28,1,1,128,512,1,Conv,7585785997656731648,7585785997656731648,7585785997656818176,
IB3c_1,28,28,1,1,512,128,1,Conv,7585785997656818176,7585785997656818176,7585785997657219584,
IB3c_2,28,28,3,3,128,128,1,Conv,7585785997657219584,7585785997657219584,7585785997657319936,
IB3c_3,28,28,1,1,128,512,1,Conv,7585785997657319936,7585785997657319936,7585785997657406464,
IB3d_1,28,28,1,1,512,128,1,Conv,7585785997657406464,7585785997657406464,7585785997657807872,
IB3d_2,28,28,3,3,128,128,1,Conv,7585785997657807872,7585785997657807872,7585785997657908224,
IB3d_3,28,28,1,1,128,512,1,Conv,7585785997657908224,7585785997657908224,7585785997657995264,
CB4a_1,28,28,1,1,512,256,2,Conv,7585785997657995264,7585785997657995264,7585785997658396672,
CB4a_2,14,14,3,3,256,256,1,Conv,7585785997658396672,7585785997658396672,7585785997658454272,

