Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
IB4b_1,14,14,1,1,1024,256,1,Conv,0,0,462848,
IB4b_2,14,14,3,3,256,256,1,Conv,462848,462848,513024,
IB4b_3,14,14,1,1,256,1024,1,Conv,513024,513024,1052672,
IB4c_1,14,14,1,1,1024,256,1,Conv,1052672,1052672,1253376,
IB4c_2,14,14,3,3,256,256,1,Conv,1253376,1253376,1314816,
IB4c_3,14,14,1,1,256,1024,1,Conv,1314816,1314816,1843200,
IB4d_1,14,14,1,1,1024,256,1,Conv,1843200,1843200,2043904,
IB4d_2,14,14,3,3,256,256,1,Conv,2043904,2043904,2105344,
IB4d_3,14,14,1,1,256,1024,1,Conv,2105344,2105344,2633728,
IB4e_1,14,14,1,1,1024,256,1,Conv,2633728,2633728,2834432,
IB4e_2,14,14,3,3,256,256,1,Conv,2834432,2834432,2895872,
IB4e_3,14,14,1,1,256,1024,1,Conv,2895872,2895872,3424256,
IB4f_1,14,14,1,1,1024,256,1,Conv,3424256,3424256,3624960,
IB4f_2,14,14,3,3,256,256,1,Conv,3624960,3624960,3686400,
IB4f_3,14,14,1,1,256,1024,1,Conv,3686400,3686400,4214784,
CB5a_1,14,14,1,1,1024,512,2,Conv,4214784,4214784,4415488,
CB5a_2,7,7,3,3,512,512,1,Conv,4415488,4415488,4739072,
CB5a_3,7,7,1,1,512,2048,1,Conv,4739072,4739072,6774784,
CB5s,14,14,1,1,1024,2048,2,Conv,4214784,4214784,6875136,
IB5b_1,7,7,1,1,2048,512,1,Conv,6875136,6875136,7006208,
IB5b_2,7,7,3,3,512,512,1,Conv,7006208,7006208,7923712,
IB5b_3,7,7,1,1,512,2048,1,Conv,7923712,7923712,9365504,
IB5c_1,7,7,1,1,2048,512,1,Conv,9365504,9365504,9465856,
IB5c_2,7,7,3,3,512,512,1,Conv,9465856,9465856,10414080,
IB5c_3,7,7,1,1,512,2048,1,Conv,10414080,10414080,11825152,
FC6,1,1,1,1,2048,1000,1,Conv,11825152,11825152,11925504,

