LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 1029, 511.0, 12616.0, 84700, -18875.0, -1.0, 150528, -6292.0, -1.0, 1029, 12865.0, 13195.0, 84700,
1, 257.0, 3207.0, 104976, 221.0, 256.0, 144, 511.0, 3429.0, 11664, -6292.0, -1.0, 12544, -6292.0, -1.0, 144, 3681.0, 3726.0, 11664,
2, 257.0, 3207.0, 104976, 221.0, 256.0, 144, 511.0, 3429.0, 11664, -6292.0, -1.0, 12544, -6292.0, -1.0, 144, 3681.0, 3726.0, 11664,
3, 257.0, 3207.0, 104976, 221.0, 256.0, 144, 511.0, 3429.0, 11664, -6292.0, -1.0, 12544, -6292.0, -1.0, 144, 3681.0, 3726.0, 11664,
4, 257.0, 3207.0, 104976, 221.0, 256.0, 144, 511.0, 3429.0, 11664, -6292.0, -1.0, 12544, -6292.0, -1.0, 144, 3681.0, 3726.0, 11664,
5, 257.0, 1062.0, 28224, 221.0, 256.0, 288, 511.0, 1301.0, 6272, -6292.0, -1.0, 12544, -6292.0, -1.0, 288, 1549.0, 1573.0, 6272,
6, 257.0, 1003.0, 48672, 185.0, 256.0, 288, 511.0, 1189.0, 2704, -6292.0, -1.0, 6272, -6292.0, -1.0, 288, 1441.0, 1451.0, 2704,
7, 257.0, 1070.0, 3364, 253.0, 256.0, 32, 511.0, 1358.0, 6728, -6292.0, -1.0, 3136, -6292.0, -1.0, 32, 1606.0, 1632.0, 6728,
8, 257.0, 1003.0, 48672, 185.0, 256.0, 576, 511.0, 1193.0, 5408, -6292.0, -1.0, 6272, -6292.0, -1.0, 576, 1441.0, 1462.0, 5408,
9, 257.0, 1003.0, 48672, 185.0, 256.0, 576, 511.0, 1193.0, 5408, -6292.0, -1.0, 6272, -6292.0, -1.0, 576, 1441.0, 1462.0, 5408,
10, 257.0, 508.0, 14112, 185.0, 256.0, 1152, 511.0, 721.0, 3136, -6292.0, -1.0, 6272, -6292.0, -1.0, 1152, 961.0, 973.0, 3136,
11, 257.0, 543.0, 20736, 113.0, 256.0, 1152, 511.0, 661.0, 1152, -6292.0, -1.0, 3136, -6292.0, -1.0, 1152, 909.0, 913.0, 1152,
12, 257.0, 472.0, 1800, 249.0, 256.0, 128, 511.0, 750.0, 3600, -6292.0, -1.0, 1568, -6292.0, -1.0, 128, 990.0, 1004.0, 3600,
13, 257.0, 543.0, 20736, 113.0, 256.0, 2304, 511.0, 669.0, 2304, -6292.0, -1.0, 3136, -6292.0, -1.0, 2304, 909.0, 917.0, 2304,
14, 257.0, 543.0, 20736, 113.0, 256.0, 2304, 511.0, 669.0, 2304, -6292.0, -1.0, 3136, -6292.0, -1.0, 2304, 909.0, 917.0, 2304,
15, 257.0, 440.0, 7056, 113.0, 256.0, 4608, 511.0, 590.0, 1568, -6292.0, -1.0, 3136, -6292.0, -1.0, 4608, 814.0, 820.0, 1568,
16, 257.0, 1103.0, 7200, 1.0, 1047.0, 4608, 511.0, 1341.0, 800, -6292.0, -1.0, 1568, -6292.0, -1.0, 4608, 1581.0, 1584.0, 800,
17, 257.0, 326.0, 1024, 241.0, 256.0, 512, 511.0, 605.0, 2048, -6292.0, -1.0, 784, -6292.0, -1.0, 512, 829.0, 836.0, 2048,
18, 257.0, 1103.0, 7200, 1.0, 1047.0, 9216, 511.0, 1357.0, 1600, -6292.0, -1.0, 1568, -6292.0, -1.0, 9216, 1581.0, 1587.0, 1600,
19, 257.0, 1103.0, 7200, 1.0, 1047.0, 9216, 511.0, 1357.0, 1600, -6292.0, -1.0, 1568, -6292.0, -1.0, 9216, 1581.0, 1587.0, 1600,
20, 257.0, 288.0, 32, 225.0, 256.0, 1024, 511.0, 542.0, 32, -6292.0, -1.0, 32, -6292.0, -1.0, 1024, 766.0, 766.0, 32,
