LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12438.0, 1185800, 159.0, 256.0, 3234, 511.0, 12642.0, 399300, -12583.0, -1.0, 100352, -6292.0, -1.0, 3234, 12865.0, 14424.0, 399300,
1, 257.0, 6885.0, 839808, 1.0, 3938.0, 9216, 511.0, 7139.0, 186624, -12583.0, -1.0, 100352, -6292.0, -1.0, 9216, 7363.0, 8091.0, 186624,
2, 257.0, 6885.0, 839808, 1.0, 3938.0, 9216, 511.0, 7139.0, 186624, -12583.0, -1.0, 100352, -6292.0, -1.0, 9216, 7363.0, 8091.0, 186624,
3, 257.0, 6885.0, 839808, 1.0, 3938.0, 9216, 511.0, 7139.0, 186624, -12583.0, -1.0, 100352, -6292.0, -1.0, 9216, 7363.0, 8091.0, 186624,
4, 257.0, 6885.0, 839808, 1.0, 3938.0, 9216, 511.0, 7139.0, 186624, -12583.0, -1.0, 100352, -6292.0, -1.0, 9216, 7363.0, 8091.0, 186624,
5, 257.0, 2592.0, 225792, 1.0, 1806.0, 18432, 511.0, 2907.0, 100352, -12583.0, -1.0, 100352, -6292.0, -1.0, 18432, 3099.0, 3490.0, 100352,
6, 257.0, 3879.0, 389376, 1.0, 3140.0, 18432, 511.0, 4101.0, 64896, -6292.0, -1.0, 50176, -6292.0, -1.0, 18432, 4325.0, 4578.0, 64896,
7, 257.0, 1098.0, 26912, 225.0, 256.0, 2048, 511.0, 1414.0, 53824, -6292.0, -1.0, 25088, -6292.0, -1.0, 2048, 1606.0, 1816.0, 53824,
8, 257.0, 3879.0, 389376, 1.0, 3140.0, 36864, 511.0, 4133.0, 129792, -6292.0, -1.0, 50176, -6292.0, -1.0, 36864, 4325.0, 4831.0, 129792,
9, 257.0, 3879.0, 389376, 1.0, 3140.0, 36864, 511.0, 4133.0, 129792, -6292.0, -1.0, 50176, -6292.0, -1.0, 36864, 4325.0, 4831.0, 129792,
10, 257.0, 2424.0, 112896, 1.0, 2180.0, 73728, 511.0, 2757.0, 75264, -6292.0, -1.0, 50176, -12583.0, -1.0, 73728, 2885.0, 3178.0, 75264,
11, 257.0, 4167.0, 165888, 1.0, 3896.0, 73728, 511.0, 4357.0, 46080, -6292.0, -1.0, 25088, -12583.0, -1.0, 73728, 4549.0, 4728.0, 46080,
12, 257.0, 528.0, 14400, 193.0, 256.0, 8192, 511.0, 862.0, 28800, -6292.0, -1.0, 12544, -6292.0, -1.0, 8192, 990.0, 1102.0, 28800,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 147456, 511.0, 4421.0, 92160, -6292.0, -1.0, 25088, -18875.0, -1.0, 147456, 4549.0, 4908.0, 92160,
14, 257.0, 4167.0, 165888, 1.0, 3896.0, 147456, 511.0, 4421.0, 92160, -6292.0, -1.0, 25088, -18875.0, -1.0, 147456, 4549.0, 4908.0, 92160,
15, 257.0, 3684.0, 56448, 1.0, 3516.0, 294912, 511.0, 4074.0, 62720, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 4074.0, 4318.0, 62720,
16, 257.0, 6864.0, 57600, 1.0, 6584.0, 294912, 511.0, 6990.0, 28800, -6292.0, -1.0, 12544, -31457.0, -1.0, 294912, 7118.0, 7230.0, 28800,
17, 257.0, 438.0, 8192, 129.0, 256.0, 32768, 511.0, 829.0, 16384, -6292.0, -1.0, 6272, -6292.0, -1.0, 32768, 829.0, 892.0, 16384,
18, 257.0, 6864.0, 57600, 1.0, 6584.0, 589824, 511.0, 7118.0, 57600, -6292.0, -1.0, 12544, -62914.0, -1.0, 589824, 7118.0, 7342.0, 57600,
19, 257.0, 6864.0, 57600, 1.0, 6584.0, 589824, 511.0, 7118.0, 57600, -6292.0, -1.0, 12544, -62914.0, -1.0, 589824, 7118.0, 7342.0, 57600,
20, 257.0, 512.0, 256, 1.0, 256.0, 65536, 511.0, 766.0, 256, -6292.0, -1.0, 256, -12583.0, -1.0, 65536, 766.0, 766.0, 256,
