LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12865, 0, 4.64125750734794, 4.9346923828125, 4.550703287251829,
1, 7363, 0, 5.569231291593101, 7.03125, 5.207804165608331,
2, 7363, 0, 5.569231291593101, 7.03125, 5.207804165608331,
3, 7363, 0, 5.569231291593101, 7.03125, 5.207804165608331,
4, 7363, 0, 5.569231291593101, 7.03125, 5.207804165608331,
5, 3099, 0, 7.115198451113263, 14.0625, 6.108033240997229,
6, 4325, 0, 4.395953757225434, 9.375, 3.734531526222746,
7, 1606, 0, 1.6364414694894147, 3.125, 1.411452738990333,
8, 4325, 0, 8.791907514450868, 18.75, 7.469063052445492,
9, 4325, 0, 8.791907514450868, 18.75, 7.469063052445492,
10, 2885, 0, 7.642980935875217, 37.5, 6.039441248972885,
11, 4549, 0, 3.5612222466476147, 22.5, 2.781115879828326,
12, 990, 0, 2.840909090909091, 12.5, 2.257223113964687,
13, 4549, 0, 7.122444493295229, 45.0, 5.562231759656652,
14, 4549, 0, 7.122444493295229, 45.0, 5.562231759656652,
15, 4074, 0, 5.412371134020619, 90.0, 4.121495327102804,
16, 7118, 0, 1.5805001404889014, 50.0, 1.1950286806883366,
17, 829, 0, 3.860072376357057, 50.0, 2.9493087557603688,
18, 7118, 0, 3.161000280977803, 100.0, 2.390057361376673,
19, 7118, 0, 3.161000280977803, 100.0, 2.390057361376673,
20, 766, 0, 0.13054830287206268, 100.0, 0.09784735812133072,
