LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 7122.0, 1098075, 1.0, 4047.0, 6897, 511.0, 7344.0, 114950, -18875.0, -1.0, 150528, -6292.0, -1.0, 6897, 7581.0, 8030.0, 114950,
1, 257.0, 2223.0, 211600, 1.0, 1551.0, 19200, 511.0, 2381.0, 50784, -6292.0, -1.0, 11664, -6292.0, -1.0, 19200, 2589.0, 2787.0, 50784,
2, 257.0, 1439.0, 52272, 1.0, 1143.0, 41472, 511.0, 1613.0, 23232, -6292.0, -1.0, 8112, -6292.0, -1.0, 41472, 1773.0, 1863.0, 23232,
3, 257.0, 3133.0, 104544, 1.0, 2917.0, 55296, 511.0, 3355.0, 30976, -6292.0, -1.0, 16224, -6292.0, -1.0, 55296, 3547.0, 3667.0, 30976,
4, 257.0, 10197.0, 278784, 1.0, 10013.0, 589824, 511.0, 10643.0, 371712, -6292.0, -1.0, 10816, -62914.0, -1.0, 589824, 10643.0, 12094.0, 371712,
