Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Conv2d_4,56,56,3,3,64,64,1,1,
Conv2d_5,56,56,3,3,64,64,1,1,
Conv2d_6,56,56,3,3,64,128,2,2,
