LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 7122.0, 1098075, 1.0, 4047.0, 34848, 511.0, 7421.0, 580800, -18875.0, -1.0, 150528, -6292.0, -1.0, 34848, 7581.0, 9849.0, 580800,
1, 257.0, 419335.0, 98901600, 1.0, 378031.0, 614400, 511.0, 419749.0, 105495040, -314314.0, 393990.0, 40177016, -62914.0, -1.0, 614400, 4734.0, 422239.0, 105495295,
2, 257.0, 15711.0, 557568, 1.0, 15335.0, 884736, 511.0, 15837.0, 418176, -6292.0, -1.0, 43264, -94371.0, -1.0, 884736, 15965.0, 17598.0, 418176,
3, 257.0, 24453.0, 836352, 1.0, 24205.0, 1327104, 511.0, 24707.0, 650496, -12583.0, -1.0, 64896, -138411.0, -1.0, 1327104, 24835.0, 27375.0, 650496,
4, 257.0, 12035.0, 418176, 1.0, 11787.0, 884736, 511.0, 12417.0, 433664, -12583.0, -1.0, 64896, -94371.0, -1.0, 884736, 12417.0, 14110.0, 433664,
