Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Linear_9,1,1,1,1,25088,4096,1,1,
Linear_10,1,1,1,1,4096,4096,1,1,
Linear_11,1,1,1,1,4096,4096,1,1,
