Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Conv2d_1,224,224,3,3,3,64,1,1,
Conv2d_2,112,112,3,3,64,128,1,1,
Conv2d_3,56,56,3,3,128,256,1,1,
