LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 29.09090909090909, 33.0989898989899, 58.18181818181818, 3.9872854418308963, 5.207883026064844, 256.0,
1, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
2, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
3, 15.392460290408344, 80.41775172131706, 15.392460290408344, 7.974570883661793, 9.868475869396086, 256.0,
