Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Conv2d_1,224,224,3,3,0,16,1,1,
Conv2d_2,112,112,3,3,16,32,1,1,
Conv2d_3,56,56,3,3,32,64,1,1,
Conv2d_4,56,56,3,3,64,64,1,1,
Conv2d_5,28,28,3,3,64,128,1,1,
Conv2d_6,28,28,3,3,128,128,1,1,
Conv2d_7,14,14,3,3,128,128,1,1,
Conv2d_8,14,14,3,3,128,6272,1,1,
Linear_9,1,1,1,1,6272,1024,1,1,
Linear_10,1,1,1,1,1024,1024,1,1,
Linear_11,1,1,1,1,1024,1024,1,1,
