LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 49566.0, 1330668, 230.0, 256.0, 297, 511.0, 49804.0, 542124, -18875.0, -1.0, 150528, -6292.0, -1.0, 297, 50049.0, 52166.0, 542124,
1, 257.0, 12427.0, 871200, 185.0, 256.0, 1152, 511.0, 12625.0, 193600, -12583.0, -1.0, 100352, -6292.0, -1.0, 1152, 12865.0, 13621.0, 193600,
2, 257.0, 3315.0, 419904, 113.0, 256.0, 4608, 511.0, 3457.0, 93312, -6292.0, -1.0, 50176, -6292.0, -1.0, 4608, 3681.0, 4045.0, 93312,
3, 257.0, 6885.0, 839808, 1.0, 3938.0, 9216, 511.0, 7139.0, 186624, -12583.0, -1.0, 100352, -6292.0, -1.0, 9216, 7363.0, 8091.0, 186624,
4, 257.0, 2405.0, 194688, 1.0, 1698.0, 18432, 511.0, 2691.0, 86528, -6292.0, -1.0, 25088, -6292.0, -1.0, 18432, 2883.0, 3220.0, 86528,
5, 257.0, 3879.0, 389376, 1.0, 3140.0, 36864, 511.0, 4133.0, 129792, -6292.0, -1.0, 50176, -6292.0, -1.0, 36864, 4325.0, 4831.0, 129792,
6, 257.0, 2283.0, 82944, 1.0, 2076.0, 36864, 511.0, 2537.0, 27648, -6292.0, -1.0, 12544, -6292.0, -1.0, 36864, 2729.0, 2836.0, 27648,
7, 257.0, 35043.0, 1078272, 1.0, 34836.0, 1806336, 511.0, 35297.0, 1354752, -6292.0, -1.0, 12544, -182451.0, -1.0, 1806336, 26176.0, 36685.0, 1355007,
8, 257.0, 19495.0, 6272, 1.0, 19431.0, 1605632, 511.0, 19941.0, 6656, -6292.0, -1.0, 3136, -163577.0, -1.0, 1605632, 19941.0, 19966.0, 6656,
9, 257.0, 2813.0, 1024, 1.0, 2557.0, 262144, 511.0, 3067.0, 1024, -6292.0, -1.0, 512, -31457.0, -1.0, 262144, 3067.0, 3070.0, 1024,
10, 257.0, 2813.0, 1024, 1.0, 2557.0, 262144, 511.0, 3067.0, 1024, -6292.0, -1.0, 512, -31457.0, -1.0, 262144, 3067.0, 3070.0, 1024,
