LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 50049, 0, 0.4462590772371201, 0.45318603515625, 0.44398808382150134,
1, 12865, 0, 1.6532865332296929, 1.7578125, 1.6210297423976832,
2, 3681, 0, 5.569987775061125, 7.03125, 5.207804165608331,
3, 7363, 0, 5.569231291593101, 7.03125, 5.207804165608331,
4, 2883, 0, 6.594693028095733, 14.0625, 5.601797289334119,
5, 4325, 0, 8.791907514450868, 18.75, 7.469063052445492,
6, 2729, 0, 2.9681201905459877, 18.75, 2.317596566523605,
7, 35489, 0, 11.183747076558934, 70.67307692307693, 8.735556289204357,
8, 19941, 0, 0.12286244421042074, 94.23076923076923, 0.09220231822971547,
9, 3067, 0, 0.13042060645582002, 100.0, 0.09784735812133072,
10, 3067, 0, 0.13042060645582002, 100.0, 0.09784735812133072,
