LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 138.25884181888847, 0.7312864360668481, 60.1943256898562, 7.974993377483444, 1.4952320406865862, 256.0,
1, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
2, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
3, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
4, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
5, 97.13572811357281, 15.858894385889439, 64.75715207571521, 7.975204641182548, 5.8593340220933, 256.0,
6, 108.02496878901373, 10.227215980024969, 30.00693577472604, 7.975204641182548, 5.8593340220933, 256.0,
7, 33.51432129514321, 5.100871731008717, 67.02864259028642, 7.974570883661793, 1.301970756516211, 255.6959619952494,
8, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
9, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
