name,ifmap_h,ifmap_w,filter_h,filter_w,channels,num_filter,stride,type,ifmap_base_addr,filter_base_addr,ofmap_base_addr,
Conv1,227,227,11,11,2,48,4,Conv,-1,-1,-1,
Conv2,31,31,5,5,48,128,1,Conv,-1,-2,-1,
Conv3,15,15,3,3,128,192,1,Conv,-1,-2,-1,
Conv4,15,15,3,3,192,192,1,Conv,-1,-2,-1,
Conv5,15,15,3,3,192,128,1,Conv,-1,-2,-1,
FC1,1,1,1,1,4608,2048,1,Conv,-1,-2,-1,
FC2,1,1,1,1,2048,2048,1,Conv,-1,-2,-1,
FC3,1,1,1,1,2048,500,1,Conv,-1,-2,-1,
