LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 49548.0, 443556, 248.0, 256.0, 288, 511.0, 49825.0, 1577088, -6292.0, -1.0, 50176, -6292.0, -1.0, 288, 33294.0, 52114.0, 1577343,
1, 257.0, 25253.0, 3484800, 1.0, 13122.0, 18432, 511.0, 25539.0, 1548800, -44040.0, -1.0, 401408, -6292.0, -1.0, 18432, 17692.0, 27685.0, 1549055,
2, 257.0, 10599.0, 1679616, 1.0, 7620.0, 73728, 511.0, 10917.0, 1119744, -25166.0, -1.0, 200704, -12583.0, -1.0, 73728, 10298.0, 11323.0, 1119999,
3, 257.0, 18027.0, 3359232, 1.0, 14984.0, 147456, 511.0, 18281.0, 1866240, -44040.0, -1.0, 401408, -18875.0, -1.0, 147456, 10298.0, 21603.0, 1866495,
4, 257.0, 6827.0, 778752, 1.0, 6024.0, 294912, 511.0, 7209.0, 865280, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 7209.0, 10588.0, 865280,
5, 257.0, 12723.0, 1557504, 1.0, 11792.0, 589824, 511.0, 12977.0, 1557504, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 9305.0, 14965.0, 1557759,
6, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -6292.0, -1.0, 50176, -62914.0, -1.0, 589824, 8189.0, 9484.0, 331776,
7, 257.0, 401055.0, 16257024, 1.0, 400656.0, 28901376, 511.0, 401309.0, 16257024, -6292.0, -1.0, 50176, -314570.0, 392466.0, 28901376, 26176.0, 403373.0, 16257279,
8, 257.0, 300409.0, 100352, 1.0, 300153.0, 25690112, 511.0, 300663.0, 100352, -6292.0, -1.0, 12544, -314570.0, 294017.0, 25690112, 300663.0, 301054.0, 100352,
9, 257.0, 48833.0, 16384, 1.0, 48577.0, 4194304, 511.0, 49087.0, 16384, -6292.0, -1.0, 2048, -314570.0, 36305.0, 4194304, 49087.0, 49150.0, 16384,
10, 257.0, 48833.0, 16384, 1.0, 48577.0, 4194304, 511.0, 49087.0, 16384, -6292.0, -1.0, 2048, -314570.0, 36305.0, 4194304, 49087.0, 49150.0, 16384,
