LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 50049, 0, 0.4327360748966013, 0.439453125, 0.43053389946327403,
1, 25731, 0, 13.225778244141308, 14.0625, 12.968237939181465,
2, 11045, 0, 29.701222272521502, 37.5, 27.774955549911102,
3, 18409, 0, 35.64017600086914, 45.0, 33.32994665989332,
4, 7209, 0, 42.19725343320849, 90.0, 35.851502651738365,
5, 12977, 0, 46.88294675194575, 100.0, 39.83500294637596,
6, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
7, 401309, 0, 15.824215255576128, 100.0, 12.36051502145925,
8, 300663, 0, 0.13037853011511227, 100.0, 0.09784735812132976,
9, 49087, 0, 0.13038075254140608, 100.0, 0.09784735812133072,
10, 49087, 0, 0.13038075254140608, 100.0, 0.09784735812133072,
