Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
CB4a_3,14,14,1,1,256,1024,1,Conv,0,0,312320,
CB4s,28,28,1,1,512,1024,2,Conv,2318273423911251055,2318273423911251055,513024,
IB4b_1,14,14,1,1,1024,256,1,Conv,513024,513024,2318273423911775343,
IB4b_2,14,14,3,3,256,256,1,Conv,2318273423911775343,2318273423911775343,2318273423911825519,
IB4b_3,14,14,1,1,256,1024,1,Conv,2318273423911825519,2318273423911825519,2318273423912365167,
IB4c_1,14,14,1,1,1024,256,1,Conv,2318273423912365167,2318273423912365167,2318273423912565871,
IB4c_2,14,14,3,3,256,256,1,Conv,2318273423912565871,2318273423912565871,2318273423912627311,
IB4c_3,14,14,1,1,256,1024,1,Conv,2318273423912627311,2318273423912627311,2318273423913155695,
IB4d_1,14,14,1,1,1024,256,1,Conv,2318273423913155695,2318273423913155695,2318273423913356399,
IB4d_2,14,14,3,3,256,256,1,Conv,2318273423913356399,2318273423913356399,2318273423913417839,
IB4d_3,14,14,1,1,256,1024,1,Conv,2318273423913417839,2318273423913417839,2318273423913946223,
IB4e_1,14,14,1,1,1024,256,1,Conv,2318273423913946223,2318273423913946223,2318273423914146927,
IB4e_2,14,14,3,3,256,256,1,Conv,2318273423914146927,2318273423914146927,2318273423914208367,

