LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 50049, 0, 0.7708111334095711, 0.78277587890625, 0.7668885084189568,
1, 12865, 0, 6.6131461329187715, 7.03125, 6.484118969590733,
2, 7363, 0, 11.138462583186202, 14.0625, 10.415608331216662,
3, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
4, 4325, 0, 17.583815028901736, 37.5, 14.938126104890983,
5, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
6, 4549, 0, 7.122444493295229, 45.0, 5.562231759656652,
7, 113749, 0, 13.957045776226604, 88.2, 10.901974248927027,
8, 76699, 0, 0.12777220041982296, 98.0, 0.0958904109589041,
9, 12271, 0, 0.130388721375601, 100.0, 0.09784735812133072,
10, 12271, 0, 0.130388721375601, 100.0, 0.09784735812133072,
