LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 49566.0, 1330668, 230.0, 256.0, 513, 511.0, 49812.0, 936396, -18875.0, -1.0, 150528, -6292.0, -1.0, 513, 50049.0, 53706.0, 936396,
1, 257.0, 12499.0, 1742400, 113.0, 256.0, 4608, 511.0, 12641.0, 387200, -25166.0, -1.0, 200704, -6292.0, -1.0, 4608, 12865.0, 14377.0, 387200,
2, 257.0, 6885.0, 839808, 1.0, 3938.0, 18432, 511.0, 7171.0, 373248, -12583.0, -1.0, 100352, -6292.0, -1.0, 18432, 7363.0, 8820.0, 373248,
3, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
4, 257.0, 3879.0, 389376, 1.0, 3140.0, 73728, 511.0, 4197.0, 259584, -6292.0, -1.0, 50176, -12583.0, -1.0, 73728, 4325.0, 5338.0, 259584,
5, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -12583.0, -1.0, 100352, -18875.0, -1.0, 147456, 7209.0, 8898.0, 432640,
6, 257.0, 4167.0, 165888, 1.0, 3896.0, 147456, 511.0, 4421.0, 92160, -6292.0, -1.0, 25088, -18875.0, -1.0, 147456, 4549.0, 4908.0, 92160,
7, 257.0, 113367.0, 4147200, 1.0, 113096.0, 7225344, 511.0, 113621.0, 4515840, -6292.0, -1.0, 25088, -314570.0, 96588.0, 7225344, 26176.0, 115005.0, 4516095,
8, 257.0, 76317.0, 25088, 1.0, 76189.0, 6422528, 511.0, 76699.0, 25600, -6292.0, -1.0, 6272, -314570.0, 74527.0, 6422528, 76699.0, 76798.0, 25600,
9, 257.0, 12017.0, 4096, 1.0, 11761.0, 1048576, 511.0, 12271.0, 4096, -6292.0, -1.0, 1024, -106954.0, -1.0, 1048576, 12271.0, 12286.0, 4096,
10, 257.0, 12017.0, 4096, 1.0, 11761.0, 1048576, 511.0, 12271.0, 4096, -6292.0, -1.0, 1024, -106954.0, -1.0, 1048576, 12271.0, 12286.0, 4096,
