LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 26.587304441647184, 0.010249955044056824, 18.709584607085056, 7.974993377483444, 0.08153210425937699, 255.98578458173864,
1, 135.43723280217645, 0.35818111154294596, 30.0971628449281, 7.975204641182548, 0.7323585505403687, 255.91539986781228,
2, 114.0578568518267, 2.503327448051066, 50.69238082303409, 7.975204641182548, 2.9294342021614748, 256.0,
3, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
4, 90.02913294797688, 17.04693641618497, 60.01942196531792, 7.974570883661793, 5.8593340220933, 256.0,
5, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
6, 36.466915805671576, 32.41503627170807, 20.25939766981754, 3.9872854418308963, 7.812238410596026, 256.0,
7, 36.45922161953072, 63.5200661104713, 39.700041319044566, 3.9872854418308963, 17.57311405076868, 50.83975008443093,
8, 0.32709683307474674, 83.73678926713517, 0.33377227864770076, 0.9968213604577241, 16.506196382402376, 256.0,
9, 0.3337951267215386, 85.45155244071388, 0.3337951267215386, 0.16274634456452639, 9.803990500589038, 256.0,
10, 0.3337951267215386, 85.45155244071388, 0.3337951267215386, 0.16274634456452639, 9.803990500589038, 256.0,
