request arrival cycle, request accepted cycle, ptw_idx, npu_idx
5452, 15052, 7, 0
5452, 15452, 0, 0
5452, 15452, 1, 0
5452, 15452, 2, 0
5452, 15452, 3, 0
5452, 15452, 4, 0
5452, 15452, 5, 0
5452, 15452, 6, 0
5452, 15452, 7, 0
5452, 15852, 0, 0
5452, 15852, 1, 0
5452, 15852, 2, 0
5452, 15852, 3, 0
5452, 15852, 4, 0
5452, 15852, 5, 0
5452, 15852, 6, 0
5452, 15852, 7, 0
5452, 16252, 0, 0
5452, 16252, 1, 0
5452, 16252, 2, 0
5452, 16252, 3, 0
5452, 16252, 4, 0
5452, 16252, 5, 0
5452, 16252, 6, 0
5452, 16252, 7, 0
5452, 16652, 0, 0
5452, 16652, 1, 0
5452, 16652, 2, 0
5452, 16652, 3, 0
5452, 16652, 4, 0
5452, 16652, 5, 0
5452, 16652, 6, 0
5452, 16652, 7, 0
5452, 17052, 0, 0
5452, 17052, 1, 0
5452, 17052, 2, 0
5452, 17052, 3, 0
5452, 17052, 4, 0
5452, 17052, 5, 0
5452, 17052, 6, 0
5452, 17052, 7, 0
5452, 17452, 0, 0
5452, 17452, 1, 0
5452, 17452, 2, 0
5452, 17452, 3, 0
5452, 17452, 4, 0
5452, 17452, 5, 0
5452, 17452, 6, 0
5452, 17452, 7, 0
5452, 17852, 0, 0
5452, 17852, 1, 0
5452, 17852, 2, 0
5452, 17852, 3, 0
5452, 17852, 4, 0
5452, 17852, 5, 0
5452, 17852, 6, 0
5452, 17852, 7, 0
18311, 18311, 0, 0
18311, 18311, 1, 0
18311, 18311, 2, 0
18311, 18311, 3, 0
18311, 18311, 4, 0
18311, 18311, 5, 0
18311, 18311, 6, 0
18311, 18311, 7, 0
18311, 18711, 0, 0
18311, 18711, 1, 0
18311, 18711, 2, 0
18311, 18711, 3, 0
18311, 18711, 4, 0
18311, 18711, 5, 0
18311, 18711, 6, 0
18311, 18711, 7, 0
18311, 19111, 0, 0
18311, 19111, 1, 0
18311, 19111, 2, 0
18311, 19111, 3, 0
18311, 19111, 4, 0
18311, 19111, 5, 0
18311, 19111, 6, 0
18311, 19111, 7, 0
18311, 19511, 0, 0
18311, 19511, 1, 0
18311, 19511, 2, 0
18311, 19511, 3, 0
18311, 19511, 4, 0
18311, 19511, 5, 0
18311, 19511, 6, 0
18311, 19511, 7, 0
18311, 19911, 0, 0
18311, 19911, 1, 0
18311, 19911, 2, 0
18311, 19911, 3, 0
18311, 19911, 4, 0
18311, 19911, 5, 0
18311, 19911, 6, 0
18311, 19911, 7, 0
18311, 20311, 0, 0
18311, 20311, 1, 0
18311, 20311, 2, 0
18311, 20311, 3, 0
18311, 20311, 4, 0
18311, 20311, 5, 0
18311, 20311, 6, 0
18311, 20311, 7, 0
18311, 20711, 0, 0
18311, 20711, 1, 0
18311, 20711, 2, 0
18311, 20711, 3, 0
18311, 20711, 4, 0
18311, 20711, 5, 0
18311, 20711, 6, 0
18311, 20711, 7, 0
18311, 21111, 0, 0
18311, 21111, 1, 0
18311, 21111, 2, 0
18311, 21111, 3, 0
18311, 21111, 4, 0
18311, 21111, 5, 0
18311, 21111, 6, 0
18311, 21111, 7, 0
18311, 21511, 0, 0
18311, 21511, 1, 0
18311, 21511, 2, 0
18311, 21511, 3, 0
18311, 21511, 4, 0
18311, 21511, 5, 0
18311, 21511, 6, 0
18311, 21511, 7, 0
18311, 21911, 0, 0
18311, 21911, 1, 0
