name,ifmap_h,ifmap_w,filter_h,filter_w,channels,num_filter,stride,type,ifmap_base_addr,filter_base_addr,ofmap_base_addr,
IB3b_1,28,28,1,1,512,128,1,Conv,-1,-2,-1,
IB3b_2,28,28,3,3,128,128,1,Conv,-1,-2,-1,
IB3b_3,28,28,1,1,128,512,1,Conv,-1,-2,-1,
IB3c_1,28,28,1,1,512,128,1,Conv,-1,-2,-1,
IB3c_2,28,28,3,3,128,128,1,Conv,-1,-2,-1,
IB3c_3,28,28,1,1,128,512,1,Conv,-1,-2,-1,
IB3d_1,28,28,1,1,512,128,1,Conv,-1,-2,-1,
IB3d_2,28,28,3,3,128,128,1,Conv,-1,-2,-1,
IB3d_3,28,28,1,1,128,512,1,Conv,-1,-2,-1,
CB4a_1,28,28,1,1,512,256,2,Conv,-1,-2,-1,
CB4a_2,14,14,3,3,256,256,1,Conv,-1,-2,-1,
CB4a_3,14,14,1,1,256,1024,1,Conv,-1,-2,-1,
CB4s,28,28,1,1,512,1024,2,Conv,9,-2,-1,
